Year,Eventnumber,Reporteddate,Incidentoperationalarea,Gridreference(confirmed),Environmentalpollutionincident(yesorno),Airenvironmentimpactlevel,Landenvironmentimpactlevel,Waterenvironmentimpactlevel,Incidentcounty,Incidentdistrict,Incidentunitary,Value
2021,1977549,03/08/2021,"GreaterManchester,MerseysideandCheshire",SJ5087377277,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),CheshireCounty,ValeRoyalDistrict,,352
2021,1977662,03/08/2021,Yorkshire,SE6626021030,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,,EastRidingofYorkshire,353
2021,1977909,04/08/2021,DevonandCornwall,SX9472089167,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),DevonCounty,ExeterDistrict,,354
2021,1978009,04/08/2021,DevonandCornwall,SX1519487006,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),CornwallCounty,NorthCornwallDistrict,,355
2021,1978280,04/08/2021,HertfordshireandNorthLondon,TQ3362592776,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,EnfieldLondonBorough,,356
2021,1978631,05/08/2021,DevonandCornwall,SX8952486804,Yes,Category2(Significant),Category4(NoImpact),Category2(Significant),DevonCounty,TeignbridgeDistrict,,357
2021,1978707,05/08/2021,Yorkshire,SE2247434747,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,LeedsDistrict,,358
2021,1978788,05/08/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SK0794949372,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),StaffordshireCounty,StaffordshireMoorlandsDistrict,,359
2021,1979374,06/08/2021,"Kent,SouthLondonandEastSussex",TR1344067290,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),KentCounty,CanterburyDistrict,,360
2021,1980193,10/08/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SP1596451917,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),WarwickshireCounty,Stratford-On-AvonDistrict,,361
2021,1980513,10/08/2021,DevonandCornwall,SY0199289766,Yes,Category4(NoImpact),Category3(Minor),Category2(Significant),DevonCounty,EastDevonDistrict,,362
2021,1980785,11/08/2021,EastAnglia(CambridgeshireandBedfordshire),TL2549546682,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),BedfordshireCounty,MidBedfordshireDistrict,,363
2021,1980914,11/08/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SO6269689968,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),ShropshireCounty,BridgnorthDistrict,,364
2021,1980957,11/08/2021,CumbriaandLancashire,SD5207622290,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),LancashireCounty,SouthRibbleDistrict,,365
2021,1981069,11/08/2021,"Kent,SouthLondonandEastSussex",TR0997029062,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),KentCounty,ShepwayDistrict,,366
2021,1981237,12/08/2021,EastMidlands,SK3497232557,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),,,CityofDerby,367
2021,1981246,12/08/2021,DevonandCornwall,SX7700265338,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),DevonCounty,SouthHamsDistrict,,368
2021,1981854,13/08/2021,EastMidlands,SK5041582294,Yes,Category4(NoImpact),Category2(Significant),Category3(Minor),,RotherhamDistrict,,369
2021,1981989,13/08/2021,Yorkshire,SE1420411973,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,KirkleesDistrict,,370
2021,1982423,15/08/2021,EastAnglia(CambridgeshireandBedfordshire),SP7335547083,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),NorthamptonshireCounty,SouthNorthamptonshireDistrict,,371
2021,1982557,16/08/2021,Yorkshire,SE4315637323,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,LeedsDistrict,,372
2021,1982883,16/08/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SP0598479355,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,BirminghamDistrict,,373
2021,1983215,17/08/2021,DevonandCornwall,SX4489176854,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DevonCounty,WestDevonDistrict,,374
2021,1983466,18/08/2021,CumbriaandLancashire,SD3654795242,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),CumbriaCounty,SouthLakelandDistrict,,375
2021,1983601,18/08/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SO7994213830,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),GloucestershireCounty,StroudDistrict,,376
2021,1983934,19/08/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SP3233284335,Yes,Category3(Minor),Category3(Minor),Category2(Significant),,CoventryDistrict,,377
2021,1984135,20/08/2021,LincolnshireandNorthamptonshire,TA0461023400,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,,NorthLincolnshire,378
2021,1984225,20/08/2021,"EastAnglia(Essex,NorfolkandSuffolk)",TG2570112198,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),NorfolkCounty,BroadlandDistrict,,379
2021,1984377,20/08/2021,HertfordshireandNorthLondon,TQ0979979586,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,HillingdonLondonBorough,,380
2021,1984516,21/08/2021,LincolnshireandNorthamptonshire,SP7665382997,Yes,Category3(Minor),Category2(Significant),Category2(Significant),NorthamptonshireCounty,KetteringDistrict,,381
2021,1984566,21/08/2021,Yorkshire,SE6157958094,Yes,Category3(Minor),Category2(Significant),Category2(Significant),,,York,382
2021,1984696,22/08/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SO8117571267,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),WorcestershireCounty,WyreForestDistrict,,383
2021,1984701,22/08/2021,Yorkshire,SK4299274694,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DerbyshireCounty,ChesterfieldDistrict,,384
2021,1984716,22/08/2021,"WestMidlands(Shropshire,Herefordshire,WorcestershireandGloucestershire)",SO8117271256,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),WorcestershireCounty,WyreForestDistrict,,385
2021,1984783,22/08/2021,DevonandCornwall,SX5068499076,Yes,Category3(Minor),Category2(Significant),Category3(Minor),DevonCounty,WestDevonDistrict,,386
2021,1984800,22/08/2021,"Kent,SouthLondonandEastSussex",TR1807068100,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),KentCounty,CanterburyDistrict,,387
2021,1984958,23/08/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SK0147343885,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),StaffordshireCounty,StaffordshireMoorlandsDistrict,,388
2021,1984964,23/08/2021,Yorkshire,SE6088152035,Yes,Category3(Minor),Category4(NoImpact),Category2(Significant),,,York,389
2021,1985071,23/08/2021,"Kent,SouthLondonandEastSussex",TR1129766800,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),KentCounty,CanterburyDistrict,,390
2021,1985604,24/08/2021,LincolnshireandNorthamptonshire,TF5243382187,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),LincolnshireCounty,EastLindseyDistrict,,391
2021,1985803,25/08/2021,LincolnshireandNorthamptonshire,TA1056603266,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),LincolnshireCounty,WestLindseyDistrict,,392
2021,1985850,25/08/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SP3316084134,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),WarwickshireCounty,NuneatonandBedworthDistrict,,393
2021,1986547,27/08/2021,Wessex,ST6273481489,Yes,Category4(NoImpact),Category3(Minor),Category1(Major),,,SouthGloucestershire,394
2021,1986550,27/08/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SP3134864315,Yes,Category2(Significant),Category3(Minor),Category3(Minor),WarwickshireCounty,WarwickDistrict,,395
2021,1986626,27/08/2021,DevonandCornwall,SW8588054695,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),CornwallCounty,CarrickDistrict,,396
2021,1986949,28/08/2021,DevonandCornwall,SW9874168199,Yes,Category4(NoImpact),Category3(Minor),Category2(Significant),CornwallCounty,NorthCornwallDistrict,,397
2021,1987075,29/08/2021,DevonandCornwall,SW8391563459,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),CornwallCounty,RestormelDistrict,,398
2021,1987139,29/08/2021,Wessex,SZ0888099206,Yes,Category3(Minor),Category2(Significant),Category4(NoImpact),DorsetCounty,EastDorsetDistrict,,399
2021,1987359,30/08/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SP1536745906,Yes,Category2(Significant),Category2(Significant),Category4(NoImpact),WorcestershireCounty,WychavonDistrict,,400
2021,1987746,01/09/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SJ8285545984,Yes,Category1(Major),Category4(NoImpact),Category4(NoImpact),StaffordshireCounty,Newcastle-under-LymeDistrict,,401
2021,1987844,01/09/2021,NorthEast,NZ3008055369,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),,SunderlandDistrict,,402
2021,1987918,01/09/2021,Yorkshire,SK3999876300,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DerbyshireCounty,NorthEastDerbyshireDistrict,,403
2021,1987998,01/09/2021,Thames,SU9677580350,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),,,Slough,404
2021,1988070,02/09/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SP0598479355,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,BirminghamDistrict,,405
2021,1988177,02/09/2021,Yorkshire,SE1431115862,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),,KirkleesDistrict,,406
2021,1988258,02/09/2021,LincolnshireandNorthamptonshire,SP7156064977,Yes,Category4(NoImpact),Category3(Minor),Category2(Significant),NorthamptonshireCounty,DaventryDistrict,,407
2021,1988309,02/09/2021,DevonandCornwall,SX2316866080,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),CornwallCounty,CaradonDistrict,,408
2021,1988346,02/09/2021,Yorkshire,SE2246934755,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,LeedsDistrict,,409
2021,1988403,03/09/2021,SolentandSouthDowns,TQ1745330652,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),WestSussexCounty,HorshamDistrict,,410
2021,1988516,03/09/2021,Yorkshire,SE1880338935,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,BradfordDistrict,,411
2021,1988613,03/09/2021,Thames,SP4698140147,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),OxfordshireCounty,CherwellDistrict,,412
2021,1988698,03/09/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SK1931553338,Yes,Category2(Significant),Category3(Minor),Category4(NoImpact),DerbyshireCounty,DerbyshireDalesDistrict,,413
2021,1988823,04/09/2021,"Kent,SouthLondonandEastSussex",TQ3619648154,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),SurreyCounty,TandridgeDistrict,,414
2021,1988844,04/09/2021,DevonandCornwall,SS3523920702,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),DevonCounty,TorridgeDistrict,,415
2021,1988920,05/09/2021,"Kent,SouthLondonandEastSussex",TQ9004967783,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),KentCounty,SwaleDistrict,,416
2021,1988966,05/09/2021,EastAnglia(CambridgeshireandBedfordshire),TL2103469444,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),CambridgeshireCounty,HuntingdonshireDistrict,,417
2021,1989050,05/09/2021,EastAnglia(CambridgeshireandBedfordshire),SP6261732618,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),OxfordshireCounty,CherwellDistrict,,418
2021,1989153,06/09/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SK0025309734,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),StaffordshireCounty,CannockChaseDistrict,,419
2021,1989279,06/09/2021,Thames,SP4871009702,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),OxfordshireCounty,OxfordDistrict,,420
